"Referee","Apps","Fouls_pg","Fouls_Tackles","Pen_pg","Y_pg","R_pg"
"Anthony Taylor",58,10.22,0.36,0.1,1.78,0.05
"Michael Oliver",54,10.31,0.55,0.11,1.41,0.02
"Martin Atkinson",52,10.48,0.51,0.13,1.38,0.1
"Andre Marriner",48,9.71,0.46,0.04,1.54,0.04
"Kevin Friend",32,10.38,0.58,0.03,1.22,0.06
"Craig Pawson",31,9.77,0.62,0.06,1.23,0
"Paul Tierney",28,11.43,0.74,0.04,1.68,0.07
"Jonathan Moss",26,10.12,0.56,0.15,0.81,0.12
"Phil Dowd",24,12.54,0.6,0.13,1.92,0.04
"Lee Mason",22,10.77,0.58,0.09,1.23,0.14
"Stuart Attwell",19,8.74,0.56,0.21,0.84,0
"Howard Webb",19,12.11,0.52,0.11,1.53,0
"Chris Kavanagh",18,10.39,0.58,0.06,1.17,0
"Mark Clattenburg",17,10.76,0.5,0.12,1.53,0.06
"Neil Swarbrick",14,9.29,0.5,0.07,1.43,0
"Lee Probert",13,9.46,0.37,0.08,0.85,0
"Mike Jones",12,10.58,0.52,0.25,1.08,0.17
"Mike Dean",12,10.17,0.76,0.17,1,0
"Peter Walton",11,10.82,0.45,0,1.36,0
"Andy Madley",10,12.6,0.75,0.2,1.5,0
